Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Otophidium chickcharney,Ghost cusk-eel,Ophidiidae,benthic,family,"452","229","865","1.71","0.94","2.95","0.194","0.096","0.370","16.1","13.5","18.6","39.1","18.6","90.7","32.6","11.4","93.7","1.91","1.33","2.72"
Oxydoras kneri,,Doradidae,benthic,species,"84.4","45.8","169.8","1.3","0.8","2.2","0.397","0.156","1.003","17.2","16.1","18.2","70.8","31.9","148.7","28.2","10.2","70.6","1.45","0.97","2.05"
Pachyurus bonariensis,La Plata croaker,Sciaenidae,benthic,family,"72.5","30.4","154.0","1.15","0.54","2.12","0.723","0.278","1.950","19.4","18.2","20.6","37.4","14.0","93.2","38","12","142","1.17","0.77","1.78"
Pagrus pagrus,Red porgy,Sparidae,benthic,species,"33.4","18.0","61.6","1","0","2","0.3","0.2","0.5","19.8","18.2","21.3","39.3","18.2","75.9","14.7","4.2","49.5","0.618","0.326","1.227"
Parablennius marmoreus,Seaweed blenny,Blenniidae,benthic,species,"97.8","37.6","198.2","0.951","0.516","1.730","0.208","0.110","0.386","19.3","18.1","20.4","8.81","4.00","19.36","78.6","21.8","279.3","1.65","1.02","2.60"
Parablennius pilicornis,Ringneck blenny,Blenniidae,benthic,species,"185","102","374","1.38","0.88","2.36","0.373","0.230","0.607","18.8","17.9","19.6","15.1","8.2","30.1","23.9","8.3","66.4","1.19","0.85","1.71"
Paraclinus nigripinnis,Blackfin blenny,Labrisomidae,benthic,genus,"139","73","267","0.828","0.475","1.397","0.154","0.085","0.270","18.8","17.6","19.8","16.2","7.5","33.0","238","72","768","2.3","1.5","3.3"
Paralichthys brasiliensis,Brazilian flounder,Paralichthyidae,pelagic,genus,"48.7","22.7","102.0","0.825","0.392","1.524","0.185","0.096","0.345","17","15","20","26.2","11.8","60.3","9.23","2.47","38.07","0.461","0.297","0.719"
Paralichthys orbignyanus,,Paralichthyidae,pelagic,species,"64.7","29.4","115.1","0.905","0.455","1.626","0.173","0.086","0.325","16.3","13.9","19.6","24.3","11.4","54.1","11.9","3.3","46.1","0.681","0.446","1.021"
Paralichthys patagonicus,Patagonian flounder,Paralichthyidae,pelagic,species,"71.3","31.6","128.5","0.966","0.464","1.748","0.208","0.110","0.380","16.1","13.8","19.5","31.6","14.3","71.3","14.1","3.5","55.7","0.526","0.349","0.788"
Paralonchurus brasiliensis,Banded croaker,Sciaenidae,benthic,species,"184","108","359","1.18","0.63","2.04","0.243","0.129","0.403","19","18","20","48.1","26.7","89.8","20","8","53","1.49","1.09","2.12"
Paranthias furcifer,Creole-fish,Epinephelidae,pelagic,species,"29.3","15.3","61.4","0.617","0.322","1.132","0.227","0.132","0.392","18.6","16.8","20.3","15.6","7.6","31.4","109","35","390","0.865","0.557","1.335"
Pareques acuminatus,High-hat,Sciaenidae,benthic,species,"75.9","39.2","126.0","0.69","0.35","1.16","0.153","0.083","0.233","19.6","18.3","20.9","32.4","18.9","59.9","84.5","28.3","283.8","1.32","0.92","1.88"
Parexocoetus brachypterus,Sailfin flyingfish,Exocoetidae,pelagic,species,"479","160","1,136","3.29","1.39","7.43","0.339","0.115","1.121","17.6","15.4","19.7","32.4","11.1","88.9","9","2","49","1.45","0.85","2.51"
Parona signata,Parona leatherjacket,Carangidae,pelagic,species,"82.5","51.3","199.0","1.55","0.91","3.06","0.37","0.24","0.61","19.4","17.7","21.2","32.6","17.9","64.8","12.1","3.9","34.2","0.637","0.443","0.914"
Paroncheilus affinis,Bigtooth cardinalfish,Apogonidae,benthic,family,"115","68","204","0.963","0.588","1.541","0.211","0.125","0.347","19","18","20","46.1","23.8","88.8","82.8","29.0","233.9","1.74","1.19","2.46"
Pellona harroweri,American coastal pellona,Pristigasteridae,pelagic,species,"227","115","485","1.88","1.11","3.12","0.456","0.222","0.877","19.5","18.0","20.8","33.1","16.2","68.4","38.6","14.0","101.2","1.55","1.05","2.21"
Pempheris schomburgkii,Glassy sweeper,Pempheridae,benthic,genus,"92.8","48.0","143.0","0.717","0.438","1.149","0.115","0.072","0.181","18.5","17.3","19.5","26.2","15.2","47.3","73.7","22.3","236.3","1.47","1.01","2.09"
Peprilus paru,American harvestfish,Stromateidae,pelagic,species,"70.1","30.9","192.1","0.877","0.387","1.939","0.381","0.193","0.755","18.1","16.3","19.8","34.6","13.9","81.4","9.82","2.20","41.96","0.719","0.420","1.210"
Percophis brasiliensis,Brazilian flathead,Percophidae,pelagic,species,"71","40","132","1","1","2","0.266","0.165","0.429","18.7","17.7","19.5","37.9","19.7","71.8","17.7","6.5","49.5","0.576","0.407","0.819"
Peristedion miniatum,Armored searobin,Peristediidae,benthic,genus,"36","19","82","0.496","0.250","0.971","0.642","0.265","1.851","16.9","15.4","18.2","18","8","44","14.2","3.3","59.2","0.453","0.306","0.678"
Phaeoptyx pigmentaria,Dusky cardinalfish,Apogonidae,benthic,family,"154","93","294","1.08","0.63","1.74","0.183","0.108","0.311","19","18","20","31.6","16.0","59.4","99.3","34.8","292.0","2.12","1.42","3.02"
Piaractus brachypomus,Pirapitinga,Serrasalmidae,benthic,species,"51","19","129","1.42","0.63","3.27","0.314","0.107","0.926","18.3","16.2","20.6","79","26","194","17.7","4.5","71.6","1.59","1.02","2.56"
Piaractus mesopotamicus,Pacu,Serrasalmidae,benthic,species,"76.1","25.1","186.6","1.76","0.87","4.38","0.522","0.209","1.343","18.7","16.6","21.0","42.4","16.5","105.7","8.7","2.3","31.5","1.13","0.75","1.83"
Pimelodus maculatus,,Pimelodidae,benthic,species,"43.7","16.0","116.5","1.18","0.57","2.30","0.624","0.240","1.695","17.5","15.4","19.4","36.5","15.2","79.7","27.6","9.5","72.3","1.18","0.78","1.69"
Pinguipes brasilianus,Brazilian sandperch,Pinguipedidae,benthic,species,"63.1","37.0","109.5","0.876","0.537","1.429","0.218","0.134","0.343","18.2","16.1","19.9","37.3","19.8","66.5","9.52","3.39","26.53","0.695","0.506","0.959"
Pinirampus pirinampu,Flatwhiskered catfish,Pimelodidae,pelagic,species,"59.1","17.4","132.1","1.35","0.70","2.62","0.442","0.174","1.143","17.3","15.3","19.5","83.9","33.3","186.7","32.9","9.8","111.6","0.849","0.554","1.270"
Plagioscion squamosissimus,South American silver croaker,Sciaenidae,benthic,species,"47.4","22.8","100.6","0.868","0.407","1.560","0.344","0.122","0.954","18.9","17.6","20.2","73.9","29.6","172.3","85.8","22.4","311.3","1.18","0.79","1.79"
Plagioscion surinamensis,Pacora,Sciaenidae,pelagic,species,"77.7","45.6","148.7","0.823","0.413","1.518","0.218","0.103","0.405","19","18","20","51.5","26.3","104.3","35.1","11.7","113.3","0.948","0.652","1.389"
Plagioscion ternetzi,Freshwater croaker,Sciaenidae,benthic,genus,"94.9","47.5","193.0","1.03","0.50","1.85","0.258","0.092","0.695","18.4","17.1","19.7","71.7","26.5","173.0","93.6","31.3","315.4","1.35","0.91","2.00"
Platybelone argalus,Keeltail needlefish,Belonidae,pelagic,species,"57.9","15.1","228.9","0.551","0.229","1.539","0.162","0.062","0.487","18","16","20","8.69","3.39","25.46","117","28","555","0.654","0.361","1.155"
Plectrypops retrospinis,Cardinal soldierfish,Holocentridae,benthic,species,"92.3","43.4","363.4","0.817","0.362","1.913","0.121","0.047","0.304","18","17","19","31.3","16.9","66.8","49.4","14.2","185.2","1.55","0.93","2.50"
Poecilia sphenops,Molly,Poeciliidae,benthic,species,"299","141","613","1.23","0.70","2.19","0.276","0.125","0.582","16.9","15.7","18.1","22.7","10.9","46.7","85.1","29.6","226.7","2.88","1.99","4.14"
Pogonias cromis,Black drum,Sciaenidae,benthic,species,"38.1","22.4","72.3","0.803","0.422","1.361","0.289","0.175","0.459","19.7","18.0","21.7","37.5","20.9","71.1","4.98","1.88","15.13","0.611","0.443","0.888"
Polydactylus virginicus,Barbu,Polynemidae,benthic,species,"176","88","325","1.17","0.60","2.03","0.272","0.172","0.423","19.5","18.0","21.1","51.1","27.2","99.4","16.1","7.3","34.6","1.37","0.95","1.99"
Polymetme thaeocoryla,,Phosichthyidae,pelagic,genus,"37.7","10.0","151.4","0.803","0.280","2.094","0.367","0.137","1.048","2.18","0.00","5.97","17.4","4.2","60.5","11.1","2.2","54.0","0.46","0.23","0.92"
Polyprion americanus,Wreckfish,Polyprionidae,pelagic,species,"9.7","6.1","21.1","0.354","0.174","0.670","0.427","0.332","0.549","19.6","19.0","20.3","25","11","55","7.95","1.81","35.92","0.253","0.178","0.380"
Polyprion oxygeneios,Hapuku wreckfish,Polyprionidae,pelagic,species,"34","20","61","0.904","0.538","1.528","0.563","0.318","1.046","21","20","22","55.6","29.6","108.8","9.09","3.16","24.94","0.368","0.267","0.532"
Pomacanthus arcuatus,Gray angelfish,Pomacanthidae,benthic,species,"31.5","15.9","53.1","0.459","0.273","0.748","0.085","0.053","0.137","18.5","17.3","19.7","34.4","17.3","66.9","54.3","13.7","197.7","1.1","0.8","1.6"
Pomacanthus paru,French angelfish,Pomacanthidae,benthic,species,"27.3","12.3","50.1","0.534","0.310","0.915","0.157","0.092","0.269","19.1","17.9","20.2","19.1","9.3","37.8","30.8","7.5","115.5","0.777","0.506","1.173"
Pomatomus saltatrix,Bluefish,Pomatomidae,benthic,species,"35.4","23.1","58.7","1.68","0.54","4.47","0.417","0.268","0.647","20","19","21","28.5","15.9","46.0","12.4","4.6","33.9","0.539","0.407","0.733"
Porichthys plectrodon,Atlantic midshipman,Batrachoididae,pelagic,species,"155","83","295","1.13","0.65","1.94","0.207","0.106","0.406","17.3","16.2","18.4","53.1","25.2","128.7","52.6","17.5","159.9","1","1","1"
Porichthys porosissimus,,Batrachoididae,pelagic,species,"98.1","51.9","192.0","1.2","0.7","2.1","0.304","0.182","0.503","17.7","16.7","18.7","32.1","16.4","69.0","22.8","7.7","66.8","0.728","0.511","1.037"
Poromitra crassiceps,Crested bigscale,Melamphaidae,pelagic,species,"33.9","12.3","134.2","0.4","0.1","1.3","0.253","0.068","0.820","2.54","0.00","6.45","8.66","2.62","36.13","89","11","829","0.838","0.424","1.805"
Potamorhina altamazonica,,Curimatidae,benthic,species,"128","36","329","1.54","0.70","3.37","0.333","0.117","0.956","17.8","15.8","20.0","42.7","17.9","93.6","54","16","152","2.77","1.89","4.08"
Potamorhina latior,,Curimatidae,benthic,species,"136","38","349","1.56","0.71","3.42","0.339","0.118","0.975","17.8","15.8","20.0","41","17","90","58.5","17.7","165.4","2.87","1.95","4.21"
Priacanthus arenatus,Atlantic bigeye,Priacanthidae,pelagic,species,"28.1","14.5","65.8","0.618","0.355","1.065","0.262","0.154","0.435","20.2","19.2","21.3","23.3","11.3","45.4","29.6","10.0","94.8","0.616","0.409","0.934"
Priolepis hipoliti,Rusty goby,Gobiidae,benthic,species,"226","103","561","1.27","0.60","2.50","0.199","0.076","0.444","18.3","16.2","20.0","35.9","14.2","83.1","126","33","454","2.83","1.74","4.41"
Prionace glauca,Blue shark,Carcharhinidae,benthic,species,"7.26","1.20","39.50","0.69","0.17","2.12","0.337","0.134","0.841","22.1","19.8","24.2","15.4","5.5","45.8","6.1","1.9","18.9","0.232","0.129","0.610"
Prionotus nudigula,Red searobin,Triglidae,pelagic,species,"76.3","38.1","178.2","1.14","0.60","2.29","0.568","0.259","1.479","17.1","14.8","20.0","28.8","13.6","80.7","29.9","9.6","98.0","0.688","0.466","1.018"
Prionotus punctatus,Bluewing searobin,Triglidae,benthic,species,"68.1","36.1","163.5","0.978","0.538","1.847","0.584","0.275","1.520","17.4","15.1","20.4","30","14","70","15.6","6.0","39.3","0.885","0.634","1.252"
Pristigenys alta,Short bigeye,Priacanthidae,pelagic,genus,"37.6","16.4","86.1","0.654","0.347","1.179","0.21","0.12","0.39","19.6","18.4","20.8","22.3","10.2","45.1","26.2","6.4","111.4","0.658","0.410","1.015"
Pristipomoides aquilonaris,Wenchman,Lutjanidae,pelagic,species,"63.8","22.8","133.1","1.05","0.56","1.98","0.403","0.252","0.655","18.7","16.9","20.4","35.6","19.2","70.1","18.2","5.9","69.8","0.58","0.39","0.86"
Pristis microdon,Largetooth sawfish,Pristidae,benthic,species,"13.9","3.0","64.7","0.512","0.120","1.459","0.0888","null","null","19.4","17.2","21.6","53.2","15.0","189.9","4.43","1.44","13.30","0.681","0.321","1.284"
Pristis pristis,Common sawfish,Pristidae,pelagic,species,"8.73","1.69","40.68","0.523","0.130","1.505","0.173","0.070","0.432","20.3","18.1","22.3","37","10","113","2.11","0.72","6.06","0.367","0.179","0.703"
Prochilodus lineatus,Streaked prochilod,Prochilodontidae,benthic,species,"16.9","6.0","99.1","2.67","0.66","6.68","0.611","0.246","1.507","19","17","21","51.2","20.3","112.3","13.4","4.4","38.7","1.14","0.81","1.66"
Prochilodus nigricans,Black prochilodus,Prochilodontidae,benthic,species,"33","14","178","2.82","0.72","6.67","0.441","0.162","1.169","18.1","15.7","20.5","91.9","38.8","199.6","36.2","13.3","84.7","2","1","3"
Promethichthys prometheus,Roudi escolar,Gempylidae,benthic,species,"32.6","15.0","65.6","0.62","0.29","1.21","0.255","0.146","0.444","17.7","15.6","19.7","60.5","27.5","122.0","12.2","3.6","42.3","0.55","0.38","0.82"
Psectrogaster amazonica,,Curimatidae,benthic,species,"139","53","350","1.51","0.70","3.62","0.267","0.095","0.779","17.3","15.2","19.5","40.6","15.8","97.6","45.8","13.6","138.3","2.61","1.69","4.01"
Psectrogaster rutiloides,,Curimatidae,benthic,species,"159","43","414","1.62","0.73","3.57","0.355","0.121","1.039","17.7","15.7","19.9","37.3","15.7","83.0","72.6","22.0","207.6","3.12","2.10","4.59"
Psenes cyanophrys,Freckled driftfish,Nomeidae,benthic,species,"52.9","17.9","131.8","0.51","0.18","1.50","0.167","0.062","0.423","18.1","16.5","19.6","14.6","4.6","43.1","22.2","2.6","185.2","0.554","0.275","1.128"
Pseudobatos percellens,Chola guitarfish,Rhinobatidae,benthic,species,"25.4","5.0","117.1","0.733","0.188","2.110","0.221","0.099","0.473","19.3","17.2","21.2","25","7","69","7.74","2.72","21.32","0.582","0.290","1.051"
Pseudocaranx dentex,White trevally,Carangidae,benthic,species,"23.5","11.5","45.7","0.594","0.313","1.142","0.144","0.086","0.253","19.6","18.4","20.9","52.3","26.4","100.4","74","18","275","0.975","0.667","1.364"
Pseudogramma gregoryi,Reef bass,Grammistidae,benthic,species,"145","75","300","0.971","0.505","1.731","0.19","0.11","0.33","18.1","16.2","19.8","29.9","15.6","58.8","134","43","457","2.16","1.41","3.18"
Pseudopercis semifasciata,Argentinian sandperch,Pinguipedidae,benthic,species,"43.7","28.8","76.8","0.844","0.552","1.288","0.323","0.224","0.462","18","16","21","32.9","18.3","59.3","9.2","3.5","23.7","0.584","0.449","0.797"
Pseudopimelodus mangurus,,Pseudopimelodidae,benthic,family,"56.6","32.4","158.6","1.25","0.71","2.06","0.464","0.197","1.075","17.6","16.5","18.7","45.8","19.5","104.9","14.9","5.6","41.8","0.834","0.577","1.215"
Pseudoplatystoma corruscans,Spotted sorubim,Pimelodidae,pelagic,species,"15.3","6.6","61.5","1.89","0.62","4.35","0.615","0.237","1.644","20","18","21","40.6","16.1","96.0","19.7","5.5","72.0","0.557","0.364","0.846"
Pseudoplatystoma fasciatum,Barred sorubim,Pimelodidae,pelagic,species,"33.1","16.2","135.9","2.28","0.77","5.23","0.443","0.172","1.148","19.2","17.6","20.6","85.6","34.3","188.9","33.3","10.0","109.6","0.937","0.615","1.398"
Pseudoplatystoma reticulatum,,Pimelodidae,pelagic,genus,"32.4","12.6","126.8","2.17","0.70","5.41","0.469","0.202","1.113","19.3","17.7","20.9","34.6","13.8","78.7","31.9","10.6","98.7","0.709","0.470","1.053"
Pseudoplatystoma tigrinum,Tiger sorubim,Pimelodidae,pelagic,species,"39.1","14.8","139.0","1.57","0.51","3.65","0.152","0.087","0.265","18.6","16.9","20.1","62.5","32.3","128.9","17.9","7.5","44.9","0.759","0.539","1.075"
Pseudupeneus maculatus,Spotted goatfish,Mullidae,benthic,species,"31.8","14.4","70.0","0.495","0.234","0.896","0.259","0.147","0.488","19.3","17.5","21.1","15","7","29","72.6","22.5","282.5","0.77","0.47","1.18"
Ptereleotris helenae,Hovering goby,Microdesmidae,pelagic,species,"110","58","186","0.815","0.490","1.359","0.101","0.057","0.181","18.1","17.0","19.1","31.3","14.7","65.4","207","72","626","1.83","1.22","2.58"
Pterodoras granulosus,Granulated catfish,Doradidae,benthic,species,"56.6","28.9","133.9","1.37","0.78","2.37","0.561","0.217","1.476","17.6","16.4","18.8","34.3","14.6","75.2","15.2","5.2","42.0","1.1","0.7","1.6"
Pterois volitans,Red lionfish,Scorpaenidae,pelagic,species,"49.1","27.1","97.8","0.68","0.36","1.80","0.219","0.100","0.610","18.7","16.7","20.7","34.6","19.2","83.9","109","42","285","0.857","0.586","1.244"
Pteroplatytrygon violacea,Pelagic stingray,Dasyatidae,pelagic,species,"19.5","4.9","91.5","0.96","0.25","2.71","0.354","0.107","1.041","22.8","19.9","25.8","20.5","5.9","52.0","15.6","5.9","43.5","0.475","0.235","0.879"
Pterygoplichthys disjunctivus,Vermiculated sailfin catfish,Loricariidae,benthic,genus,"88","48","171","1.27","0.71","2.24","0.273","0.106","0.701","16.2","15.1","17.4","126","53","312","21.9","7.5","60.0","1.62","1.07","2.41"
Pygocentrus nattereri,Red piranha,Serrasalmidae,benthic,species,"59.4","26.7","161.3","2.16","1.01","5.44","0.665","0.258","1.848","19.6","17.4","22.0","32.6","11.5","81.7","14.8","3.9","59.4","0.783","0.500","1.228"
Rachycentron canadum,Cobia,Rachycentridae,benthic,species,"13.7","6.0","25.4","0.49","0.24","0.88","0.167","0.084","0.369","20","19","21","47.6","20.3","101.5","18","5","73","0.435","0.271","0.692"
Rajella sadowskii,Brazilian skate,Rajidae,benthic,genus,"7.64","1.39","39.72","0.339","0.081","1.055","0.543","0.159","2.003","16.4","13.6","19.1","16.1","4.1","52.2","7.34","1.81","30.37","0.373","0.185","0.692"
Remora australis,Whalesucker,Echeneidae,benthic,genus,"77.4","43.7","128.9","1.41","0.88","2.24","0.201","0.111","0.358","18.9","17.8","19.9","28.8","15.3","56.4","10.4","3.5","32.6","0.79","0.57","1.10"
Remora brachyptera,Spearfish remora,Echeneidae,benthic,genus,"39.6","12.5","119.7","1.21","0.45","6.66","0.269","0.118","0.593","3.95","0.22","7.80","27.7","6.4","78.5","6.37","2.13","20.36","0.752","0.368","1.431"
Remora remora,Shark sucker,Echeneidae,benthic,species,"25.5","12.2","40.8","0.629","0.346","1.051","0.129","0.069","0.242","19.3","18.3","20.3","33.4","15.8","66.4","30.4","10.1","96.3","0.657","0.432","0.989"
Rhamdia quelen,South American catfish,Heptapteridae,benthic,species,"91.5","50.5","198.1","1.02","0.58","1.80","0.239","0.098","0.592","16.5","15.4","17.6","51.7","20.4","122.1","55.8","19.4","147.0","1.55","1.06","2.24"
Rhizoprionodon porosus,Caribbean sharpnose shark,Carcharhinidae,pelagic,species,"8.95","1.65","47.15","0.433","0.104","1.231","0.143","0.058","0.338","22.2","19.3","24.6","38","11","110","58.9","20.5","179.1","0.758","0.366","1.514"
Rhomboplites aurorubens,Vermilion snapper,Lutjanidae,pelagic,species,"57.3","19.9","118.3","0.974","0.512","1.815","0.408","0.255","0.664","18.9","17.1","20.6","33.1","17.3","65.9","21.1","6.4","83.8","0.526","0.349","0.788"
Rioraja agassizii,Rio skate,Arhynchobatidae,benthic,species,"43","7","197","0.911","0.243","2.649","0.522","0.178","1.883","17.3","14.6","19.8","16.5","4.9","49.3","16.8","6.1","46.1","0.769","0.367","1.401"
Risor ruber,Tusked goby,Gobiidae,benthic,family,"380","164","1,300","1.9","0.8","4.2","0.173","0.054","0.544","18.1","15.9","20.0","39.5","11.6","111.7","92.7","17.8","468.6","4.63","2.46","7.75"
Ruvettus pretiosus,Oilfish,Gempylidae,pelagic,species,"17.3","7.8","32.2","0.573","0.271","1.108","0.202","0.110","0.353","17.7","15.5","19.7","81.8","36.6","171.9","10.3","3.2","36.7","0.411","0.288","0.611"
Rypticus bistrispinus,Freckled soapfish,Grammistidae,pelagic,genus,"79","43","154","0.682","0.353","1.179","0.185","0.114","0.294","18.5","16.7","20.2","26.4","14.5","49.4","146","48","490","1.37","0.92","2.00"
Rypticus saponaceus,Greater soapfish,Grammistidae,pelagic,species,"42.1","24.7","79.4","0.521","0.280","0.880","0.161","0.109","0.241","18.6","16.9","20.3","31.1","18.7","55.6","112","39","351","1.07","0.74","1.50"
Rypticus subbifrenatus,Spotted soapfish,Grammistidae,pelagic,genus,"71.5","39.3","138.8","0.645","0.335","1.129","0.167","0.105","0.265","18.6","16.8","20.3","23.3","13.0","44.2","142","46","462","1.32","0.89","1.93"
Salminus brasiliensis,Dorado,Bryconidae,pelagic,species,"37","15","87","0.956","0.495","2.259","0.591","0.214","1.665","18.8","16.5","21.1","167","65","392","29.6","10.2","79.5","1.08","0.74","1.60"
Salmo salar,Atlantic salmon,Salmonidae,benthic,species,"11.3","3.3","25.5","0.379","0.139","0.995","1.2","0.5","3.2","18.5","16.9","20.2","18.6","7.9","41.8","11.9","2.5","54.2","0.254","0.177","0.388"
Sarda sarda,Atlantic bonito,Scombridae,pelagic,species,"48.6","29.8","70.5","3.05","1.93","4.90","0.438","0.198","0.939","21.2","20.2","22.1","34.7","24.6","48.6","9.6","3.1","34.2","0.505","0.409","0.700"
Sardinella aurita,Round sardinella,Dorosomatidae,pelagic,species,"89","50","191","1.46","0.87","2.44","0.541","0.271","1.052","21.6","20.9","22.4","63.2","32.8","112.9","13.1","4.2","39.8","0.656","0.490","0.983"
Sardinella brasiliensis,Brazilian sardinella,Dorosomatidae,pelagic,species,"141","78","222","1.98","1.21","3.20","0.456","0.234","0.849","21.3","20.4","22.2","41.7","21.8","80.6","22.8","7.3","71.3","0.804","0.591","1.190"
Sargocentron bullisi,Deepwater squirrelfish,Holocentridae,benthic,genus,"83.2","32.5","335.8","0.626","0.249","1.979","0.176","0.074","0.408","18.4","17.2","19.6","37.6","21.3","74.7","85.4","31.9","240.2","2.29","0.95","4.34"
Scartella cristata,Molly miller,Blenniidae,benthic,species,"121","68","196","0.837","0.517","1.314","0.129","0.081","0.206","18.6","17.5","19.6","19.4","11.4","35.1","119","39","369","2.16","1.51","2.99"
Scarus coelestinus,Midnight parrotfish,Scaridae,benthic,species,"23.8","15.2","42.5","0.624","0.431","0.945","0.0867","null","null","18.6","16.6","20.4","25.9","16.0","42.1","37.4","11.4","121.5","1.83","1.36","2.36"
Scarus coeruleus,Blue parrotfish,Scaridae,benthic,species,"21.2","13.4","36.4","0.618","0.415","0.940","0.0733","null","null","18.9","16.7","20.7","24.4","14.4","40.4","26.2","7.6","89.8","1.64","1.22","2.15"
Scarus guacamaia,Rainbow parrotfish,Scaridae,benthic,species,"14.2","7.6","22.9","0.608","0.374","1.000","0.11","0.06","0.20","19.5","17.4","21.4","11.1","5.5","21.4","16.8","4.2","63.6","1.1","0.8","1.6"
Scarus taeniopterus,Princess parrotfish,Scaridae,benthic,species,"44.1","28.9","73.8","0.791","0.556","1.203","0.0898","null","null","18.6","16.5","20.4","18.1","11.3","28.4","51","16","166","2.33","1.77","3.01"
Scarus trispinosus,Greenbeak parrotfish,Scaridae,benthic,genus,"30.6","19.9","51.0","0.67","0.47","1.02","0.0835","null","null","18.6","16.5","20.4","19.8","12.4","31.6","46.2","13.9","150.1","2.04","1.54","2.63"
Scarus zelindae,Zelinda's parrotfish,Scaridae,benthic,genus,"40.6","20.8","93.8","0.752","0.405","1.291","0.0705","null","null","18.1","16.0","20.0","19.4","9.7","38.2","37.7","8.9","151.0","2.02","1.34","2.95"
Schroederichthys bivius,Narrowmouthed catshark,Atelomycteridae,benthic,species,"27.1","4.5","147.7","0.723","0.192","2.131","0.18","0.08","0.39","16.1","13.3","20.4","19.3","5.8","54.7","10.6","3.7","29.9","0.636","0.303","1.164"
Sciades couma,Couma sea catfish,Ariidae,benthic,species,"107","59","230","1.07","0.66","1.81","0.166","0.093","0.303","17.3","15.6","19.0","77.1","39.1","154.6","8.43","3.64","19.18","0.966","0.654","1.447"
Sciades herzbergii,Pemecou sea catfish,Ariidae,benthic,species,"93.2","51.2","182.5","0.957","0.621","1.530","0.155","0.087","0.265","16.8","15.2","18.5","75.6","42.4","141.5","11","5","23","1.14","0.79","1.68"
Sciades parkeri,Gillbacker sea catfish,Ariidae,benthic,species,"63.8","33.6","136.7","1.04","0.63","1.87","0.215","0.116","0.403","17.8","16.1","19.6","61.9","29.2","143.4","11.7","4.2","32.3","0.723","0.467","1.124"
Sciades passany,Passany sea catfish,Ariidae,benthic,genus,"76.8","40.1","164.5","0.91","0.56","1.59","0.149","0.084","0.263","16.8","15.1","18.6","63.2","31.4","136.4","24.7","9.5","63.3","0.992","0.662","1.557"
Sciades proops,Crucifix sea catfish,Ariidae,benthic,species,"98.3","51.2","205.4","1.09","0.68","1.92","0.169","0.095","0.304","17.3","15.6","19.0","68.5","33.7","141.9","16.1","6.8","40.8","0.811","0.533","1.257"
Scomber colias,Atlantic chub mackerel,Scombridae,pelagic,species,"21.2","8.1","51.9","0.69","0.26","1.60","0.739","0.500","1.145","20.7","19.5","21.9","42.7","22.3","80.3","20.1","6.0","80.7","0.688","0.442","1.014"
Scomber japonicus,Chub mackerel,Scombridae,pelagic,species,"48.8","16.2","118.3","2.18","0.83","5.26","0.358","0.247","0.525","20.9","19.8","21.8","98.1","37.9","229.9","13.7","3.5","60.5","0.846","0.514","1.358"
Scomberomorus brasiliensis,Serra Spanish mackerel,Scombridae,pelagic,species,"8.97","3.62","31.76","0.344","0.142","0.904","0.117","0.072","0.195","20.4","18.8","22.0","54.5","16.0","179.7","77","14","433","0.793","0.457","1.403"
Scomberomorus cavalla,King mackerel,Scombridae,pelagic,species,"20.3","9.2","71.9","0.707","0.314","1.640","0.238","0.149","0.393","20.6","19.4","21.9","74.7","27.2","232.8","17.7","4.4","77.8","0.568","0.380","0.903"
Scomberomorus regalis,Cero,Scombridae,pelagic,species,"8.08","3.23","27.36","0.327","0.126","0.834","0.113","0.070","0.193","21.2","19.7","22.7","39.6","12.7","130.5","66.6","12.9","341.5","0.541","0.330","0.918"
Scorpaena brasiliensis,Barbfish,Scorpaenidae,benthic,species,"45.5","23.3","98.5","0.542","0.289","1.536","0.215","0.098","0.569","18.6","16.9","20.2","36.2","19.8","87.1","114","40","307","1.2","0.8","1.7"
Scorpaena calcarata,Smooth-head scorpionfish,Scorpaenidae,benthic,genus,"82.2","40.8","199.0","0.694","0.372","1.780","0.282","0.121","0.799","18.5","16.7","20.1","33.8","16.6","82.5","165","55","474","1.47","0.99","2.14"
Scorpaena dispar,Hunchback scorpionfish,Scorpaenidae,benthic,genus,"58.9","29.5","131.7","0.599","0.321","1.621","0.238","0.107","0.634","18.6","16.9","20.2","33.7","17.9","81.3","136","47","370","1.31","0.91","1.87"
Scorpaena grandicornis,Plumed scorpionfish,Scorpaenidae,pelagic,species,"56.4","28.3","119.9","0.575","0.292","1.643","0.182","0.081","0.481","18.7","16.9","20.4","23.4","12.3","60.0","127","42","353","1.34","0.94","1.94"
Scorpaena isthmensis,Smooth-cheek scorpionfish,Scorpaenidae,benthic,genus,"223","116","516","1.29","0.68","2.64","0.416","0.172","1.163","17.8","16.2","19.3","47.6","22.1","126.3","42.1","14.4","120.3","1.44","0.99","2.16"
